merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
RESTAURACE FARM TABLE,restaurace farm table,5812,KLECANY,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
GOPAY  *SALONONLINE.CZ,gopay salononline,5977,PRAHA 8,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,
PROFI 21133 LUGOJ,profi lugoj,5411,LUGOJ,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
MOONPAY*EXODUS 1919,moonpay exodus,6051,MOONPAY.COM,IE,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule
MOONPAY*TRUSTWALLET 2923,moonpay trustwallet,6051,MOONPAY.COM,IE,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule
HENRY SHOP PIER WEST,henry pier west,5812,SCHWECHAT,AT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
PENNY PRUBEZNA 2551,penny prubezna,5411,CESKE BUDEJOV,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
LEKARNA U MAGISTRA,lekarna magistra,5912,PRAHA 10,CZ,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
IF COW IKEA 492 WUPPERTAL,cow ikea wuppertal,5712,WUPPERTAL,DE,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule
LIME*PRZEJAZD OXF2,lime przejazd,4789,ABU DHABI,AE,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
GOPAY  *MAGU.CO,gopay magu,5499,HTTPS://MAGU.,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TV NOVA 4289727050,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL LM6LGUB5,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
FITNESS4LESS.CO.UK,,7298,WOKINGHAM,GB,Beauty & Personal Care,Personal care services and spas,Personal Services,"Hotels, laundry, beauty services, personal care",,0.95,rule_based,mcc_rule
32RED,,7995,2619869367,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
X7778 ENTS,ents,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
81C18D120250411,,4900,ARNHEM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule
KLM07424570780430,,3010,AMSTELVEEN,NL,Travel & Airlines,Airlines,Airlines,Individual airline merchant codes,Scandinavian Airlines,0.95,rule_based,mcc_rule
TRANSFERGO*SVITLANA*YATSY,transfergo svitlana yatsy,4829,VISA DIRECT,LT,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
AXS TICKETS RESALE,axs tickets resale,7922,LONDON,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule
BOLT.EU/O/2409151343,bolt,4121,TALLINN,EE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
FRESSNAPF HANDELS GMB,fressnapf handels gmb,5995,WIEN,AT,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
MYAIRBRIDGE,myairbridge,5734,PRAHA,CZ,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
"MOL NYRT. KISKER.,6016",mol nyrt kisker,5541,BUDAPEST,HU,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
LIME*RIDE RF24,lime ride,4789,HELLERUP,DK,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
PAYPAL *SPOTIFY*P3921C0F5,paypal spotify,5815,35314369001,SE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
AMZN MKTP IT*WQ2SE9OA5,amzn mktp,5999,AMAZON.IT,LU,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
CLOUDSTORAGE,cloudstorage,4816,ADMIRALTY,HK,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Computer Network Services,0.95,rule_based,mcc_rule
CS.RESPONTIKA,respontika,7996,WILMINGTON,US,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
PORSCHE,porsche,5511,MISTELBACH,AT,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
FAMILY MART,family mart,5499,*,JP,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
AMAZON UK* 7V3U41FI5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
CVS/PHARMACY #08340,cvs pharmacy,5912,LUBBOCK,US,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
EVERYMAN MEDIA GROUP C,everyman media group,7832,CHELMSFORD,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25203007992�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
LIME*2 RIDES O7RD,lime rides,4789,BUCHAREST,RO,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
BANJE BEACH,banje beach,5813,DUBROVNIK,HR,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
SIBIU 5 SURII MARI,sibiu surii mari,5541,SIBIU,RO,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
DERTOUR,dertour,4722,1751095784647,DE,Travel & Airlines,Travel agencies,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
2853.2523.3125 AIB_ECO,aib eco,7995,VALETTA,MT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
0A6R200000CZHV9IAH WWW.IN,,7372,ROMA,IT,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
RESTAURACE U SV. STEPA,restaurace stepa,5812,LITOMERICE,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TOOGOODT 0AR6SJAS5R8F0,toogoodt,5812,TOOGOODTOGO.D,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
AN REALT,realt,5813,CARRAROE,IE,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
ORDER O-Y3BMZWO,,5816,VILNIUS,LT,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
8-BAR,bar,5812,BASEL,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
IFU ARENA,ifu arena,5812,UPPSALA,SE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
SUPERDRUG STORES PLC,superdrug stores plc,5912,BRUNSWICK,GB,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
"MAXIMA LT, X-482",maxima,5311,KAUNAS,LT,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
NOW 0647C ENTERTAI,now entertai,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
FOODORA_AT_QWVD-2518-A,foodora qwvd,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
NOW D7D63 SPORTS,now sports,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TCL 69 LYO,tcl lyo,4111,V25200006613�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
GOOGLE *CALIFORNIA,google california,5816,G.CO/HELPPAY#,US,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
ACQUARENA BX BRESSANONE,acquarena bressanone,7832,BRIXEN,IT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule
O17658724388491618 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
DEKUJEME-DPMHK,dekujeme dpmhk,4111,HRAD. KRALOVE,CZ,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
1CEE1 BOOST,boost,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TOOGOODT 4NSR4FGFQSQA0,toogoodt,5812,TOOGOODTOGO.N,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
LW*BILLETWEB,billetweb,7991,PARIS 7,FR,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Tourist Attractions,0.95,rule_based,mcc_rule
O17472091280597636 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
PIREX PAPIR,pirex papir,5943,BUDAPEST,HU,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Office Supplies,0.0,rule_based,
IEPURAS LEGUME FRUCTE,iepuras legume fructe,5411,X,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
SKYSHOWTIME C0D85 SHOW,skyshowtime show,4899,AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
RENTUMO.CO.UK GB-115567,rentumo,6513,K BENHAVN K,DK,,,Real Estate & Payments,"Real estate managers, payment services",Real Estate Agents,0.0,rule_based,
E03A0,,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
32RED,,7995,2483384594,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
USCUSTOMS ESTA APPL PMT,uscustoms esta pmt,9399,317-715-6776,US,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
LIM*9 COURSES,lim courses,4789,PARIS,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
FACEBK *KF94RY47Q2,facebk,7311,FB.ME/ADS,IE,,,Business Services,"Advertising, consulting, IT services",Advertising Services,0.0,rule_based,
AD FREE FOR *LG5YI77Y5,free for,5815,PRIMEVIDEO.NL,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
SPILNU,spilnu,7995,ID:2300133290,DK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
PAYPAL *AIRBNB HMQHJ34,paypal airbnb,7011,35314369001,GB,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
88E26 SPORTS,sports,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
SIMPLY MARKET,simply market,5411,CACHAN,FR,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
GOPAY *BIKE-ESHOP.CZ,gopay bike eshop,5499,BIKE-ESHOP.CZ,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
OSMOKE,osmoke,5993,ANTIBES,FR,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
GALADARI ICE CREAM CO L,galadari ice cream,5814,DUBAI,AE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
L'ALLEGREZZA DI SFARZ.,allegrezza sfarz,5499,BARI,IT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
32ROSU,,7995,2624270115,MT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
LIDL DIENSTLEISTUNG,lidl dienstleistung,5411,LOLLAR,DE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ETSY.COM*ELEPHANTHOUSE,etsy elephanthouse,5699,DUBLIN 1,IE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule
TRADEIT.GG - RHF6,tradeit,7993,TRADEIT.GG,US,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
LIME*2 RIDES 52JU,lime rides,4789,FRANKFURT,DE,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
MERCADONA PLAYA FLAMEN,mercadona playa flamen,5411,ORIHUELA,ES,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
NEMZETI DOHA'NYBOLT-L,nemzeti doha nybolt,7995,GARDONY,HU,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
DADF3 ENTS,ents,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
CRV*TESCO STORES 2128,crv tesco stores,5411,LONDON,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
NEWCASTLE CITY COUNCIL GQ,newcastle city council,7523,NCC PARKING,GB,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
MARINELLI BEATRICE,marinelli beatrice,5993,PESCARA,IT,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
TONCO BAKERY,tonco bakery,5462,SHEFFIELD,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule
FOODORA_AT_Z3Z1-2516-J,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
SPLRU 69 LYO,splru lyo,4111,V25053008559�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
BILLA DANKT 0000112,billa dankt,5411,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
